seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762042	762071	30	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	763086	150	*	X00002	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763086	150	*	X00002	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	860270	860419	150	*	X00008	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894720	120	*	X00018	339451	895967	901099	5133	+	1246	upstream	1246	KLHL17
chr1	894601	894720	120	*	X00018	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895441	896055	615	*	X00019	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895441	896055	615	*	X00019	26155	879583	894679	15097	-	761	upstream	761	NOC2L
chr1	901404	901408	5	*	X00021	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	936696	936994	299	*	X00027	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00028	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	1051311	1051445	135	*	X00058	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052439	154	*	X00059	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1071859	1071923	65	*	X00060	254099	1072397	1079434	7038	+	473	upstream	473	LINC01342
chr1	1071984	1072118	135	*	X00061	254099	1072397	1079434	7038	+	278	upstream	278	LINC01342
chr1	1072404	1072491	88	*	X00062	254099	1072397	1079434	7038	+	0	inside	6	LINC01342
chr1	1072674	1072883	210	*	X00063	254099	1072397	1079434	7038	+	0	inside	276	LINC01342
chr1	1100535	1100684	150	*	X00070	406984	1102484	1102578	95	+	1799	upstream	1799	MIR200B
chr1	1182195	1182531	337	*	X00078	388581	1177826	1182102	4277	-	92	upstream	92	C1QTNF12
chr1	1209338	1209599	262	*	X00079	118424	1189292	1209234	19943	-	103	upstream	103	UBE2J2
chr1	1209863	1209967	105	*	X00080	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00084	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00085	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243230	36	*	X00086	126789	1243994	1247057	3064	+	763	upstream	763	PUSL1
chr1	1244950	1245054	105	*	X00088	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1259231	1259295	65	*	X00091	80772	1260143	1264276	4134	+	847	upstream	847	CPTP
chr1	1259545	1259709	165	*	X00092	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260131	1260265	135	*	X00093	80772	1260143	1264276	4134	+	0	overlapStart	0	CPTP
chr1	1260131	1260265	135	*	X00093	54973	1246965	1260067	13103	-	63	upstream	63	INTS11
chr1	1260310	1260414	105	*	X00094	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00094	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1284445	1284525	81	*	X00097	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285463	120	*	X00098	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00109	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00110	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1361240	1361249	10	*	X00114	643965	1361508	1363167	1660	+	258	upstream	258	TMEM88B
chr1	1361310	1361639	330	*	X00115	643965	1361508	1363167	1660	+	0	overlapStart	0	TMEM88B
chr1	1369462	1369596	135	*	X00122	64856	1370903	1378262	7360	+	1306	upstream	1306	VWA1
chr1	1370107	1370226	120	*	X00123	64856	1370903	1378262	7360	+	676	upstream	676	VWA1
chr1	1370992	1371096	105	*	X00124	64856	1370903	1378262	7360	+	0	inside	88	VWA1
chr1	1405262	1405376	115	*	X00127	83858	1407164	1444689	37526	+	1787	upstream	1787	ATAD3B
chr1	1405983	1406102	120	*	X00128	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406516	210	*	X00129	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00131	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1475224	1475553	330	*	X00135	339453	1470158	1475740	5583	-	0	inside	186	TMEM240
chr1	1475825	1475838	14	*	X00136	339453	1470158	1475740	5583	-	84	upstream	84	TMEM240
chr1	1475569	1475782	214	*	X00137	339453	1470158	1475740	5583	-	0	overlapStart	0	TMEM240
chr1	1475869	1476208	340	*	X00138	339453	1470158	1475740	5583	-	128	upstream	128	TMEM240
chr1	1535610	1535729	120	*	X00140	643988	1533388	1535476	2089	-	133	upstream	133	FNDC10
chr1	1565701	1565721	21	*	X00142	8510	1567560	1570030	2471	+	1838	upstream	1838	MMP23B
chr1	1566378	1566452	75	*	X00143	8510	1567560	1570030	2471	+	1107	upstream	1107	MMP23B
chr1	1566532	1567026	495	*	X00144	8510	1567560	1570030	2471	+	533	upstream	533	MMP23B
chr1	1567192	1567491	300	*	X00145	8510	1567560	1570030	2471	+	68	upstream	68	MMP23B
chr1	1567803	1567967	165	*	X00146	8510	1567560	1570030	2471	+	0	inside	242	MMP23B
chr1	1712999	1713133	135	*	X00150	65220	1682671	1711508	28838	-	1490	upstream	1490	NADK
chr1	1822775	1823044	270	*	X00156	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1823165	1823299	135	*	X00157	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850715	1850861	147	*	X00161	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
